"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"CC","cell periphery",5596,3705,3.13506968388437e-17,6.92505542473218e-13
"BP","anatomical structure development",5746,3849,1.21347419996776e-13,9.88443334427846e-10
"CC","plasma membrane",5132,3377,1.34244646805357e-13,9.88443334427846e-10
"BP","system development",3937,2709,2.16728127729008e-12,1.19682690335151e-08
"CC","cell junction",2269,1620,5.59699071240588e-12,2.47263855692667e-08
"BP","tissue development",1963,1385,7.66883548362488e-12,2.8232817832965e-08
"BP","multicellular organism development",4574,3107,1.08143455363653e-11,3.41254397932533e-08
"BP","anatomical structure morphogenesis",2663,1868,2.80714147734169e-11,7.75086851162507e-08
"BP","multicellular organismal process",6968,4510,1.48910274569574e-10,3.65475450551926e-07
"BP","nervous system development",2488,1760,1.75984550736914e-10,3.8873227412277e-07
"BP","cell junction organization",795,603,2.01983021622972e-10,4.05600269511802e-07
"BP","developmental process",6245,4118,2.27583692423221e-10,4.18924681828044e-07
"BP","animal organ development",2930,2015,2.86624110356199e-10,4.87018459512161e-07
"BP","cell adhesion",1470,1038,4.14592089856252e-10,6.54137476631053e-07
"BP","neuron development",1113,827,6.49452506204027e-10,9.5638376063605e-07
"BP","neurogenesis",1705,1231,1.13918461587009e-09,1.55829032719559e-06
"BP","cell differentiation",4242,2843,1.19928179466363e-09,1.55829032719559e-06
"BP","regulation of multicellular organismal process",2941,1983,1.52950276169516e-09,1.78449741221297e-06
"BP","cellular developmental process",4244,2843,1.53494729648452e-09,1.78449741221297e-06
"BP","regulation of neuron projection development",420,335,2.21821776319962e-09,2.44991060856582e-06
"BP","neuron projection development",970,725,3.45099897583772e-09,3.6299579227276e-06
"BP","cell junction assembly",486,376,4.73680528217239e-09,4.71312849107002e-06
"BP","neuron differentiation",1380,1007,4.90750850172532e-09,4.71312849107002e-06
"BP","regulation of plasma membrane bounded cell projection organization",610,467,6.54781433185365e-09,6.0264446156798e-06
"BP","generation of neurons",1454,1056,7.06856842591855e-09,6.2455043184046e-06
"BP","cell development",2749,1884,7.78826179059962e-09,6.61672748817519e-06
"BP","regulation of cell projection organization",626,477,9.55341632776809e-09,7.81575604681738e-06
"BP","regulation of developmental process",2421,1660,1.45726700592419e-08,1.14962753192355e-05
"BP","cell migration",1533,1069,1.82938698990948e-08,1.39342514552105e-05
"BP","tube development",1136,812,2.89052372875536e-08,2.12829262148257e-05
"CC","actin filament bundle",90,83,3.12565390935035e-08,2.22717965173032e-05
"BP","actin filament-based process",793,585,3.56154392157223e-08,2.45846699011278e-05
"BP","cell-cell signaling",1270,901,4.1201560987017e-08,2.75788266861278e-05
"CC","plasma membrane region",1268,897,4.6175808752202e-08,2.9999336456688e-05
"BP","cell morphogenesis",943,702,5.89101610805856e-08,3.55495450407186e-05
"CC","stress fiber",83,77,5.95469766176191e-08,3.55495450407186e-05
"CC","contractile actin filament bundle",83,77,5.95469766176191e-08,3.55495450407186e-05
"CC","actomyosin",89,82,6.12495609323053e-08,3.56037250377287e-05
"BP","actin cytoskeleton organization",695,516,7.50470739115317e-08,4.25055080931237e-05
"CC","neuron projection",1271,913,8.1793930299889e-08,4.51686531598562e-05
"CC","synapse",1574,1121,8.68886616509796e-08,4.68117962733778e-05
"BP","cell morphogenesis involved in neuron differentiation",554,430,1.01464388228226e-07,5.1999681575097e-05
"BP","regulation of multicellular organismal development",1423,992,1.02377002756105e-07,5.1999681575097e-05
"CC","cell-cell junction",496,375,1.03580333618736e-07,5.1999681575097e-05
"BP","regulation of nervous system development",430,334,1.40329436670938e-07,6.88830428138746e-05
"BP","circulatory system development",1191,841,1.50374747348276e-07,7.22092998733927e-05
"CC","synaptic membrane",425,330,1.53978607379492e-07,7.23666693277787e-05
"BP","muscle structure development",695,509,1.57869792252559e-07,7.26497050222247e-05
"BP","positive regulation of developmental process",1317,925,1.6444633561274e-07,7.41317368846901e-05
"BP","tissue morphogenesis",604,453,1.73232044791924e-07,7.65304527481763e-05
